Sample,Task,Mean Tonic,Max Slope,Num Peaks,Mean Amplitude,Std Amplitude,Total Power,EDASymp Power,subject_id,Mean Tonic_norm,Max Slope_norm
s4,rest0,0.1464181467851585,0.0014224876429269,44,0.0051201563098308,0.0020531945076705,2.583162682555372e-06,2.1598063867613337e-07,s4,0.0,0.0
s4,task1,0.1613580407935226,0.0028104011908119,11,0.0238608620275447,0.019380733412465,6.275772172009895e-05,2.4813405358844433e-05,s4,0.026829225249723573,0.03858893689378383
s4,task2,0.343034707169854,0.0097595482365589,15,0.0215712707993448,0.0202282127224591,0.0002305728076702,0.0001039822087979,s4,0.35308617205942866,0.23179996017588717
s4,task3,0.7032696250150702,0.037389095528909,11,0.0755994243706292,0.0546916751746161,0.0023772948679981,0.0007729003222149,s4,0.9999999820418904,0.9999997219644051
s5,rest0,0.2069786796214701,0.0007031682987339,24,0.0057047015464666,0.0022058488552152,2.022092976097063e-06,4.3716332052012233e-07,s5,0.0,0.0
s5,task1,0.2532872374722912,0.0080584229976595,7,0.0360930081626306,0.0194603802759499,0.0001111251995506,3.4264142022324384e-05,s5,0.2991356907508513,0.7061102408418007
s5,task2,0.3047357693590849,0.0111197395540304,9,0.037087736375867,0.0295427354539904,0.0001059306665921,4.3210653346712575e-05,s5,0.6314736610597312,0.9999990399921285
s5,task3,0.3617865353581979,0.0043140398774934,2,0.1032540461272246,0.0671618070065181,0.0001956375236152,7.72272271830788e-05,s5,0.9999999354037991,0.3466465138860686
s6,rest0,0.4628291551452379,0.0063680176824423,4,0.0661044401922608,0.0305427484252354,0.0001500790243711,9.036926635967114e-05,s6,0.0,0.0
s6,task1,0.4874067512608197,0.0099951427763769,9,0.0506715586469593,0.0421046673033716,0.0003483674578169,0.0001537520628671,s6,0.013163212620233176,0.020604852751153674
s6,task2,1.879141213310581,0.0980803104791002,13,0.4181598542863423,0.2312783399094412,0.0402606555076801,0.0210645048572169,s6,0.7585451673368074,0.5209961717906773
s6,task3,2.329971827153092,0.1824005732988851,10,0.5395964496695634,0.2532388621691864,0.0615629316738677,0.0199786324192981,s6,0.999999994644223,0.9999999431923294
s7,rest0,0.0752219544345278,0.0056263553499222,2,0.0049937990072923,0.0006023633803317,0.0002156045679977,0.0001031904271667,s7,0.0,0.9999971602664982
s7,task1,0.0866244870504721,0.002672773680686,7,0.0206375717530602,0.0183995934538712,5.8620832905316065e-05,2.3414508283073457e-05,s7,0.29093026630538726,0.16125867863253188
s7,task2,0.0977114648415497,0.0021049081449514,16,0.015966381791466,0.0222382768950622,0.0001084735790192,4.641991775745793e-05,s7,0.5738092994045614,0.0
s7,task3,0.1144152974010258,0.0034665772929672,4,0.0575883618134036,0.0336838229614633,0.0001531129839626,7.429274530341027e-05,s7,0.9999997448546949,0.3866777497945176
s8,rest0,0.3554675105629214,0.0116676773580449,17,0.030572785240976,0.0199542278189948,0.0006128774663895,0.0001613191206343,s8,0.9999999343634568,0.08110172011327134
s8,task1,0.353892347584637,0.0528889196001113,11,0.0440578836995913,0.0335664987079284,0.0018013749286169,0.0010004083260152,s8,0.9896611090660257,0.9999997770814252
s8,task2,0.2031133668781883,0.0080295004942611,11,0.0305999014797814,0.0287444263174559,0.0004427629427561,0.0001443794429301,s8,0.0,0.0
s8,task3,0.2723580563866923,0.0186585422765457,14,0.0464161758116113,0.0329008927956255,0.0005009514248231,0.0001784811520582,s8,0.4544982058828028,0.23694108449762788
s9,rest0,0.1964964872511138,0.0010639607175235,41,0.0052094096769212,0.0021599227976184,4.7478246995599045e-06,4.4631411378399577e-07,s9,0.0,0.0
s9,task1,0.2174429228241924,0.0029829371679389,17,0.0100136748786067,0.0087144509617812,2.8614681974724435e-05,9.77803429723756e-06,s9,0.09596972040613674,0.35106639864878786
s9,task2,0.3365019559886569,0.0065300860634333,23,0.0187281416214114,0.0097145244591162,8.85053963710786e-05,3.055474037155316e-05,s9,0.6414592899682232,0.9999981705538983
s9,task3,0.4147573566663589,0.0022498799243212,19,0.0122025634781053,0.0057417910656366,2.7429909543520545e-05,7.942942482997363e-06,s9,0.999999954183269,0.21695752698203855
