hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
64,0.85,100,0.0005,population,30,4,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5346374986650374,0.5346374986650373,116,29,snnTorch,253,tonic,2,6
32,0.9,200,0.001,population,30,4,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5288785428408069,0.5288785428408069,116,29,snnTorch,211,tonic,2,6
64,0.9,100,0.0005,population,30,10,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5273525352961282,0.5273525352961282,116,29,snnTorch,282,tonic,2,6
32,0.85,200,0.0005,population,30,4,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5247371675943104,0.5247371675943104,116,29,snnTorch,181,tonic,2,6
64,0.9,200,0.0005,population,30,6,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5227761844416283,0.5227761844416283,116,29,snnTorch,290,tonic,2,6
8,0.9,200,0.005,population,30,4,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5163548708997983,0.5163548708997981,116,29,snnTorch,52,tonic,2,6
64,0.95,100,0.005,population,30,4,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5146369830975588,0.5146369830975588,116,29,snnTorch,313,tonic,2,6
8,0.95,100,0.005,population,30,10,3,0.25,0.0001,0.5431034482758621,0.5431034482758621,0.5116666666666667,0.5116666666666667,116,29,snnTorch,72,tonic,2,6
32,0.9,100,0.005,population,30,4,3,0.25,0.0001,0.5344827586206896,0.5344827586206897,0.5188289069868017,0.5188289069868017,116,29,snnTorch,205,tonic,2,6
32,0.9,200,0.0005,population,30,6,3,0.25,0.0001,0.5344827586206896,0.5344827586206897,0.5187412587412588,0.5187412587412588,116,29,snnTorch,209,tonic,2,6
16,0.95,200,0.001,population,30,10,3,0.25,0.0001,0.5344827586206896,0.5344827586206897,0.5161665825445035,0.5161665825445035,116,29,snnTorch,159,tonic,2,6
64,0.85,50,0.001,population,30,10,3,0.25,0.0001,0.5344827586206896,0.5344827586206896,0.5236711734436486,0.5236711734436486,116,29,snnTorch,249,tonic,2,6
64,0.95,100,0.001,population,30,4,3,0.25,0.0001,0.5344827586206896,0.5344827586206896,0.5222756410256411,0.5222756410256411,116,29,snnTorch,310,tonic,2,6
8,0.85,200,0.005,population,30,4,3,0.25,0.0001,0.5344827586206896,0.5344827586206896,0.515447601243546,0.5154476012435459,116,29,snnTorch,25,tonic,2,6
64,0.95,50,0.001,population,30,10,3,0.25,0.0001,0.5344827586206896,0.5344827586206896,0.5039482764883223,0.5039482764883222,116,29,snnTorch,303,tonic,2,6
64,0.9,50,0.001,population,30,10,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.514444621162657,0.514444621162657,116,29,snnTorch,276,tonic,2,6
16,0.9,100,0.005,population,30,4,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.5072323525856327,0.5072323525856328,116,29,snnTorch,124,tonic,2,6
32,0.95,100,0.005,population,30,6,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.5042996659511045,0.5042996659511044,116,29,snnTorch,233,tonic,2,6
32,0.95,200,0.0005,population,30,10,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.5019772511956535,0.5019772511956535,116,29,snnTorch,237,tonic,2,6
16,0.85,200,0.001,population,30,4,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.49793148028442147,0.49793148028442147,116,29,snnTorch,103,tonic,2,6
32,0.9,50,0.005,population,30,10,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.4952996761108141,0.4952996761108141,116,29,snnTorch,198,tonic,2,6
64,0.95,50,0.005,population,30,6,3,0.25,0.0001,0.5258620689655172,0.5258620689655172,0.48960228354939384,0.48960228354939384,116,29,snnTorch,305,tonic,2,6
16,0.95,200,0.001,population,30,6,3,0.25,0.0001,0.5258620689655172,0.5258620689655171,0.5075632221946443,0.5075632221946443,116,29,snnTorch,158,tonic,2,6
64,0.9,50,0.001,population,30,6,3,0.25,0.0001,0.5172413793103449,0.5172413793103449,0.5014285714285713,0.5014285714285713,116,29,snnTorch,275,tonic,2,6
32,0.95,100,0.001,population,30,10,3,0.25,0.0001,0.5172413793103449,0.5172413793103449,0.4820906539766099,0.48209065397660994,116,29,snnTorch,231,tonic,2,6
16,0.85,50,0.005,population,30,10,3,0.25,0.0001,0.5172413793103449,0.5172413793103448,0.5068167126990657,0.5068167126990656,116,29,snnTorch,90,tonic,2,6
64,0.9,100,0.001,population,30,4,3,0.25,0.0001,0.5172413793103449,0.5172413793103448,0.5064368770764119,0.5064368770764119,116,29,snnTorch,283,tonic,2,6
64,0.9,50,0.005,population,30,4,3,0.25,0.0001,0.5172413793103449,0.5172413793103448,0.4871437827597829,0.48714378275978293,116,29,snnTorch,277,tonic,2,6
8,0.95,100,0.005,population,30,6,3,0.25,0.0001,0.5172413793103449,0.5172413793103448,0.4608480075200364,0.46084800752003635,116,29,snnTorch,71,tonic,2,6
32,0.95,200,0.0005,population,30,6,3,0.25,0.0001,0.5086206896551724,0.5086206896551724,0.4941586940734426,0.49415869407344265,116,29,snnTorch,236,tonic,2,6
16,0.85,200,0.001,population,30,6,3,0.25,0.0001,0.5086206896551724,0.5086206896551724,0.4904792560398968,0.49047925603989684,116,29,snnTorch,104,tonic,2,6
32,0.85,100,0.001,population,30,6,3,0.25,0.0001,0.5086206896551724,0.5086206896551724,0.4900944996747249,0.4900944996747249,116,29,snnTorch,176,tonic,2,6
32,0.85,50,0.005,population,30,4,3,0.25,0.0001,0.5086206896551724,0.5086206896551724,0.48789890142349157,0.48789890142349157,116,29,snnTorch,169,tonic,2,6
32,0.95,100,0.005,population,30,4,3,0.25,0.0001,0.5086206896551724,0.5086206896551724,0.48447298163050956,0.4844729816305096,116,29,snnTorch,232,tonic,2,6
32,0.9,100,0.001,population,30,6,3,0.25,0.0001,0.5086206896551724,0.5086206896551724,0.4823145245559039,0.4823145245559039,116,29,snnTorch,203,tonic,2,6
64,0.85,100,0.0005,population,30,6,3,0.25,0.0001,0.5,0.5,0.48869985946257133,0.4886998594625713,116,29,snnTorch,254,tonic,2,6
16,0.95,100,0.005,population,30,4,3,0.25,0.0001,0.5,0.5,0.4856840261188088,0.4856840261188087,116,29,snnTorch,151,tonic,2,6
32,0.95,100,0.0005,population,30,10,3,0.25,0.0001,0.5,0.5,0.4749472888570633,0.4749472888570633,116,29,snnTorch,228,tonic,2,6
32,0.95,200,0.001,population,30,4,3,0.25,0.0001,0.5,0.5,0.47251210075425776,0.4725121007542578,116,29,snnTorch,238,tonic,2,6
64,0.95,200,0.0005,population,30,4,3,0.25,0.0001,0.5,0.5,0.47012609757707796,0.470126097577078,116,29,snnTorch,316,tonic,2,6
16,0.85,50,0.005,population,30,6,3,0.25,0.0001,0.5,0.5,0.46707815243487294,0.467078152434873,116,29,snnTorch,89,tonic,2,6
8,0.9,100,0.005,population,30,4,3,0.25,0.0001,0.5,0.5,0.4631104851514686,0.4631104851514686,116,29,snnTorch,43,tonic,2,6
8,0.9,100,0.005,population,30,6,3,0.25,0.0001,0.49137931034482757,0.4913793103448276,0.47017785737297935,0.47017785737297935,116,29,snnTorch,44,tonic,2,6
64,0.9,100,0.0005,population,30,4,3,0.25,0.0001,0.49137931034482757,0.49137931034482757,0.4729314333115987,0.4729314333115988,116,29,snnTorch,280,tonic,2,6
64,0.85,50,0.001,population,30,6,3,0.25,0.0001,0.49137931034482757,0.4913793103448275,0.48032707750860804,0.48032707750860804,116,29,snnTorch,248,tonic,2,6
64,0.95,100,0.0005,population,30,4,3,0.25,0.0001,0.4827586206896552,0.4827586206896552,0.45850143942868543,0.45850143942868543,116,29,snnTorch,307,tonic,2,6
8,0.85,100,0.005,population,30,4,3,0.25,0.0001,0.4827586206896552,0.4827586206896552,0.45347425419567483,0.45347425419567483,116,29,snnTorch,16,tonic,2,6
32,0.95,50,0.005,population,30,6,3,0.25,0.0001,0.4827586206896552,0.4827586206896552,0.4501456126282024,0.45014561262820246,116,29,snnTorch,224,tonic,2,6
64,0.95,50,0.005,population,30,4,3,0.25,0.0001,0.4827586206896552,0.4827586206896552,0.43295026200825787,0.4329502620082579,116,29,snnTorch,304,tonic,2,6
16,0.85,50,0.005,population,30,4,3,0.25,0.0001,0.4827586206896552,0.48275862068965514,0.45665918586440557,0.45665918586440557,116,29,snnTorch,88,tonic,2,6
