hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,weight_decay,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,method,config_id,feature_group,n_features,input_channels
8,0.85,100,0.0005,population,30,4,3,0.25,0.0001,0.29310344827586204,0.29310344827586204,0.27085419136667743,0.27085419136667743,116,29,snnTorch,10,tonic,2,6
8,0.95,50,0.0005,population,30,4,3,0.25,0.0001,0.28448275862068967,0.28448275862068967,0.27314814814814814,0.27314814814814814,116,29,snnTorch,55,tonic,2,6
8,0.85,100,0.0005,population,30,6,3,0.25,0.0001,0.28448275862068967,0.28448275862068967,0.2607649666473196,0.2607649666473196,116,29,snnTorch,11,tonic,2,6
16,0.9,100,0.0005,population,30,6,3,0.25,0.0001,0.28448275862068967,0.28448275862068967,0.24665463746474198,0.246654637464742,116,29,snnTorch,119,tonic,2,6
8,0.95,50,0.001,population,30,4,3,0.25,0.0001,0.27586206896551724,0.27586206896551724,0.2645577728504558,0.26455777285045573,116,29,snnTorch,58,tonic,2,6
8,0.95,50,0.001,population,30,6,3,0.25,0.0001,0.27586206896551724,0.27586206896551724,0.25942460317460314,0.2594246031746032,116,29,snnTorch,59,tonic,2,6
8,0.9,50,0.001,population,30,10,3,0.25,0.0001,0.27586206896551724,0.27586206896551724,0.25754664438874963,0.25754664438874963,116,29,snnTorch,33,tonic,2,6
8,0.9,100,0.0005,population,30,10,3,0.25,0.0001,0.27586206896551724,0.27586206896551724,0.25338793323093856,0.25338793323093856,116,29,snnTorch,39,tonic,2,6
16,0.85,50,0.001,population,30,4,3,0.25,0.0001,0.27586206896551724,0.27586206896551724,0.1961265313079829,0.1961265313079829,116,29,snnTorch,85,tonic,2,6
8,0.85,50,0.001,population,30,4,3,0.25,0.0001,0.27586206896551724,0.2758620689655172,0.25266097379417685,0.25266097379417685,116,29,snnTorch,4,tonic,2,6
8,0.85,50,0.0005,population,30,4,3,0.25,0.0001,0.2672413793103448,0.2672413793103448,0.2501727675833766,0.2501727675833766,116,29,snnTorch,1,tonic,2,6
8,0.9,50,0.0005,population,30,10,3,0.25,0.0001,0.2672413793103448,0.2672413793103448,0.2470018656925473,0.24700186569254734,116,29,snnTorch,30,tonic,2,6
8,0.85,50,0.001,population,30,6,3,0.25,0.0001,0.2672413793103448,0.2672413793103448,0.24546197518841492,0.2454619751884149,116,29,snnTorch,5,tonic,2,6
8,0.9,50,0.0005,population,30,6,3,0.25,0.0001,0.2672413793103448,0.2672413793103448,0.24267373110145693,0.24267373110145696,116,29,snnTorch,29,tonic,2,6
8,0.95,50,0.0005,population,30,10,3,0.25,0.0001,0.25862068965517243,0.25862068965517243,0.24564748736247397,0.245647487362474,116,29,snnTorch,57,tonic,2,6
8,0.95,100,0.0005,population,30,6,3,0.25,0.0001,0.25862068965517243,0.25862068965517243,0.24441377705868045,0.24441377705868048,116,29,snnTorch,65,tonic,2,6
8,0.9,100,0.0005,population,30,4,3,0.25,0.0001,0.25862068965517243,0.25862068965517243,0.2383668730650155,0.23836687306501553,116,29,snnTorch,37,tonic,2,6
8,0.9,50,0.001,population,30,4,3,0.25,0.0001,0.25862068965517243,0.25862068965517243,0.23490856844305122,0.23490856844305122,116,29,snnTorch,31,tonic,2,6
16,0.9,50,0.0005,population,30,6,3,0.25,0.0001,0.25862068965517243,0.25862068965517243,0.22871068335801137,0.2287106833580114,116,29,snnTorch,110,tonic,2,6
16,0.9,50,0.0005,population,30,10,3,0.25,0.0001,0.25862068965517243,0.2586206896551724,0.21979991785483777,0.21979991785483777,116,29,snnTorch,111,tonic,2,6
8,0.95,50,0.0005,population,30,6,3,0.25,0.0001,0.25,0.25,0.23934738147032278,0.23934738147032275,116,29,snnTorch,56,tonic,2,6
8,0.9,50,0.0005,population,30,4,3,0.25,0.0001,0.25,0.25,0.23117816091954022,0.2311781609195402,116,29,snnTorch,28,tonic,2,6
16,0.9,50,0.0005,population,30,4,3,0.25,0.0001,0.25,0.25,0.23015088775958342,0.23015088775958345,116,29,snnTorch,109,tonic,2,6
16,0.85,50,0.0005,population,30,10,3,0.25,0.0001,0.2413793103448276,0.24137931034482762,0.18917788094114854,0.1891778809411485,116,29,snnTorch,84,tonic,2,6
8,0.85,50,0.0005,population,30,6,3,0.25,0.0001,0.2413793103448276,0.2413793103448276,0.2225410768093695,0.22254107680936946,116,29,snnTorch,2,tonic,2,6
16,0.85,50,0.0005,population,30,6,3,0.25,0.0001,0.2413793103448276,0.2413793103448276,0.19510412860796492,0.19510412860796494,116,29,snnTorch,83,tonic,2,6
16,0.85,50,0.0005,population,30,4,3,0.25,0.0001,0.23275862068965517,0.2327586206896552,0.18774131274131275,0.18774131274131273,116,29,snnTorch,82,tonic,2,6
8,0.85,50,0.0005,population,30,10,3,0.25,0.0001,0.23275862068965517,0.23275862068965517,0.20895252837977296,0.20895252837977293,116,29,snnTorch,3,tonic,2,6
