hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
32,0.95,200,0.005,population,30,4,3,0.25,0.5517241379310345,0.5517241379310345,0.5411138139466313,0.5411138139466313,116,29,160,7,21
32,0.9,200,0.001,population,30,10,3,0.25,0.5517241379310345,0.5517241379310345,0.5419821162444114,0.5419821162444113,116,29,132,7,21
64,0.95,100,0.0005,population,30,10,3,0.25,0.5517241379310345,0.5517241379310345,0.5170431018257106,0.5170431018257106,116,29,228,7,21
32,0.95,200,0.001,population,30,10,3,0.25,0.5517241379310345,0.5517241379310345,0.5332546925767265,0.5332546925767264,116,29,159,7,21
32,0.85,100,0.001,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.5364448857994042,0.5364448857994041,116,29,95,7,21
32,0.9,100,0.001,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.5328652204512014,0.5328652204512014,116,29,122,7,21
16,0.95,200,0.0005,population,30,10,3,0.25,0.5517241379310345,0.5517241379310345,0.5220959595959596,0.5220959595959596,116,29,75,7,21
16,0.85,50,0.005,population,30,4,3,0.25,0.5517241379310345,0.5517241379310345,0.525954592363261,0.525954592363261,116,29,7,7,21
32,0.85,50,0.005,population,30,6,3,0.25,0.5517241379310345,0.5517241379310345,0.5379912980606146,0.5379912980606146,116,29,89,7,21
16,0.9,200,0.001,population,30,10,3,0.25,0.5517241379310345,0.5517241379310345,0.5218944448188333,0.5218944448188332,116,29,51,7,21
16,0.85,100,0.005,population,30,4,3,0.25,0.5431034482758621,0.5431034482758621,0.5296463363983828,0.5296463363983829,116,29,16,7,21
64,0.85,100,0.001,population,30,4,3,0.25,0.5431034482758621,0.5431034482758621,0.5335839817141473,0.5335839817141473,116,29,175,7,21
32,0.9,200,0.005,population,30,10,3,0.25,0.5431034482758621,0.5431034482758621,0.5456798071070743,0.5456798071070743,116,29,135,7,21
32,0.9,50,0.005,population,30,10,3,0.25,0.5431034482758621,0.5431034482758621,0.5248293884616665,0.5248293884616665,116,29,117,7,21
64,0.85,50,0.005,population,30,4,3,0.25,0.5431034482758621,0.5431034482758621,0.5231576822241543,0.5231576822241543,116,29,169,7,21
32,0.85,200,0.001,population,30,6,3,0.25,0.5431034482758621,0.5431034482758621,0.5293331170762037,0.5293331170762037,116,29,104,7,21
32,0.85,200,0.001,population,30,4,3,0.25,0.5431034482758621,0.5431034482758621,0.5248155187835422,0.524815518783542,116,29,103,7,21
64,0.95,200,0.001,population,30,4,3,0.25,0.5431034482758621,0.5431034482758621,0.513990707307827,0.513990707307827,116,29,238,7,21
64,0.95,100,0.001,population,30,4,3,0.25,0.5431034482758621,0.543103448275862,0.5132178403364844,0.5132178403364843,116,29,229,7,21
16,0.9,50,0.005,population,30,10,3,0.25,0.5431034482758621,0.543103448275862,0.5270012621076451,0.5270012621076451,116,29,36,7,21
32,0.85,200,0.0005,population,30,10,3,0.25,0.5344827586206896,0.5344827586206897,0.5253891941391942,0.5253891941391942,116,29,102,7,21
64,0.9,50,0.001,population,30,10,3,0.25,0.5344827586206896,0.5344827586206897,0.513531798314407,0.513531798314407,116,29,195,7,21
32,0.85,200,0.005,population,30,10,3,0.25,0.5344827586206896,0.5344827586206897,0.5394893658425981,0.5394893658425982,116,29,108,7,21
64,0.95,100,0.005,population,30,4,3,0.25,0.5344827586206896,0.5344827586206897,0.5176363537592352,0.5176363537592351,116,29,232,7,21
64,0.85,100,0.001,population,30,6,3,0.25,0.5344827586206896,0.5344827586206897,0.5235319998317757,0.5235319998317757,116,29,176,7,21
32,0.95,200,0.001,population,30,4,3,0.25,0.5344827586206896,0.5344827586206897,0.5189719272468221,0.5189719272468221,116,29,157,7,21
16,0.95,50,0.005,population,30,10,3,0.25,0.5344827586206896,0.5344827586206897,0.4984216334622946,0.49842163346229457,116,29,63,7,21
32,0.95,100,0.005,population,30,4,3,0.25,0.5344827586206896,0.5344827586206897,0.5132795389374336,0.5132795389374336,116,29,151,7,21
32,0.9,50,0.005,population,30,6,3,0.25,0.5344827586206896,0.5344827586206897,0.5223083140941529,0.522308314094153,116,29,116,7,21
32,0.95,50,0.005,population,30,10,3,0.25,0.5344827586206896,0.5344827586206897,0.5159641225464477,0.5159641225464479,116,29,144,7,21
32,0.9,100,0.005,population,30,4,3,0.25,0.5344827586206896,0.5344827586206896,0.5238636363636364,0.5238636363636363,116,29,124,7,21
32,0.85,100,0.005,population,30,4,3,0.25,0.5344827586206896,0.5344827586206896,0.5172045795284176,0.5172045795284176,116,29,97,7,21
32,0.85,200,0.005,population,30,4,3,0.25,0.5344827586206896,0.5344827586206896,0.5195661256982012,0.5195661256982012,116,29,106,7,21
16,0.9,200,0.0005,population,30,6,3,0.25,0.5258620689655172,0.5258620689655173,0.493761858296742,0.493761858296742,116,29,47,7,21
32,0.9,200,0.001,population,30,4,3,0.25,0.5258620689655172,0.5258620689655173,0.49404761904761907,0.49404761904761907,116,29,130,7,21
16,0.9,100,0.005,population,30,4,3,0.25,0.5258620689655172,0.5258620689655172,0.4978462157809984,0.49784621578099836,116,29,43,7,21
