hidden,beta,epochs,lr,encoding,T,max_spikes,n_pop,sigma,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,n_subjects,config_id,n_features,input_channels
64,0.9,200,0.005,population,30,10,3,0.25,0.603448275862069,0.603448275862069,0.6011307475423193,0.6011307475423193,116,29,216,7,21
32,0.85,100,0.005,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.6012967165583518,0.6012967165583518,116,29,98,7,21
32,0.85,100,0.005,population,30,10,3,0.25,0.603448275862069,0.603448275862069,0.5924547306620844,0.5924547306620845,116,29,99,7,21
16,0.85,200,0.005,population,30,4,3,0.25,0.603448275862069,0.603448275862069,0.5918894830659538,0.5918894830659537,116,29,25,7,21
64,0.95,200,0.005,population,30,6,3,0.25,0.603448275862069,0.603448275862069,0.5990376359024461,0.5990376359024461,116,29,242,7,21
32,0.95,100,0.005,population,30,10,3,0.25,0.603448275862069,0.603448275862069,0.5954266321913381,0.5954266321913382,116,29,153,7,21
16,0.95,200,0.005,population,30,10,3,0.25,0.603448275862069,0.603448275862069,0.5911817528735632,0.5911817528735632,116,29,81,7,21
16,0.85,100,0.005,population,30,10,3,0.25,0.603448275862069,0.603448275862069,0.5935605539702731,0.5935605539702731,116,29,18,7,21
16,0.9,100,0.005,population,30,6,3,0.25,0.5948275862068966,0.5948275862068966,0.5832535885167465,0.5832535885167464,116,29,44,7,21
64,0.9,200,0.0005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5788895590036003,0.5788895590036004,116,29,210,7,21
64,0.9,200,0.001,population,30,4,3,0.25,0.5948275862068966,0.5948275862068966,0.5768845133193304,0.5768845133193304,116,29,211,7,21
16,0.9,100,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5744785934404578,0.5744785934404579,116,29,45,7,21
16,0.9,200,0.001,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5810297689422966,0.5810297689422966,116,29,51,7,21
64,0.85,200,0.001,population,30,4,3,0.25,0.5948275862068966,0.5948275862068966,0.5905908316563939,0.5905908316563938,116,29,184,7,21
16,0.95,50,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5779928684469778,0.5779928684469778,116,29,63,7,21
64,0.85,200,0.0005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5806901003366344,0.5806901003366344,116,29,183,7,21
64,0.95,200,0.001,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5855767283026647,0.5855767283026647,116,29,240,7,21
16,0.85,200,0.005,population,30,10,3,0.25,0.5948275862068966,0.5948275862068966,0.5963766768906651,0.5963766768906652,116,29,27,7,21
32,0.85,200,0.005,population,30,4,3,0.25,0.5948275862068966,0.5948275862068966,0.5835281385281386,0.5835281385281387,116,29,106,7,21
32,0.9,100,0.005,population,30,6,3,0.25,0.5948275862068966,0.5948275862068966,0.5900425530381644,0.5900425530381644,116,29,125,7,21
64,0.95,100,0.005,population,30,6,3,0.25,0.5948275862068966,0.5948275862068966,0.5852204316013707,0.5852204316013708,116,29,233,7,21
32,0.95,200,0.005,population,30,4,3,0.25,0.5948275862068966,0.5948275862068966,0.5879586484353118,0.5879586484353116,116,29,160,7,21
64,0.95,100,0.005,population,30,4,3,0.25,0.5862068965517241,0.5862068965517242,0.5726911587836954,0.5726911587836955,116,29,232,7,21
32,0.9,200,0.005,population,30,10,3,0.25,0.5862068965517241,0.5862068965517242,0.5871693121693122,0.5871693121693121,116,29,135,7,21
16,0.95,200,0.005,population,30,4,3,0.25,0.5862068965517241,0.5862068965517242,0.5665637166637272,0.5665637166637272,116,29,79,7,21
64,0.95,100,0.005,population,30,10,3,0.25,0.5862068965517241,0.5862068965517242,0.588777979431337,0.5887779794313369,116,29,234,7,21
64,0.9,100,0.001,population,30,6,3,0.25,0.5862068965517241,0.5862068965517242,0.5641105305407037,0.5641105305407037,116,29,203,7,21
32,0.9,200,0.005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517242,0.5784335815047021,0.5784335815047021,116,29,134,7,21
64,0.85,50,0.005,population,30,10,3,0.25,0.5862068965517241,0.5862068965517242,0.5796764375582719,0.5796764375582719,116,29,171,7,21
64,0.85,50,0.005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517242,0.5741916853608635,0.5741916853608635,116,29,170,7,21
16,0.95,200,0.005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517242,0.5706039625014206,0.5706039625014206,116,29,80,7,21
32,0.95,200,0.001,population,30,10,3,0.25,0.5862068965517241,0.5862068965517241,0.569906258615936,0.5699062586159361,116,29,159,7,21
64,0.85,200,0.005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517241,0.5826290321199876,0.5826290321199877,116,29,188,7,21
64,0.95,100,0.001,population,30,6,3,0.25,0.5862068965517241,0.5862068965517241,0.5662685855477048,0.5662685855477048,116,29,230,7,21
16,0.95,200,0.001,population,30,10,3,0.25,0.5862068965517241,0.5862068965517241,0.5707337094227571,0.5707337094227573,116,29,78,7,21
64,0.9,200,0.0005,population,30,6,3,0.25,0.5862068965517241,0.5862068965517241,0.5649398090631383,0.5649398090631383,116,29,209,7,21
